Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2011-12-02,1751.0000
2011-12-05,1744.0000
2011-12-06,1720.0000
2011-12-07,1731.0000
2011-12-08,1739.0000
2011-12-09,1712.0000
2011-12-12,1680.0000
2011-12-13,1665.0000
2011-12-14,1635.0000
2011-12-15,1590.0000
2011-12-16,1589.5000
2011-12-19,1593.0000
2011-12-20,1605.0000
2011-12-21,1637.5000
2011-12-22,1609.0000
2011-12-23,1607.5000
2011-12-28,1584.0000
2011-12-29,1537.5000
2011-12-30,1574.5000
2012-01-03,1590.0000
2012-01-04,1603.0000
2012-01-05,1614.5000
2012-01-06,1621.0000
2012-01-09,1618.0000
2012-01-10,1627.0000
2012-01-11,1641.0000
2012-01-12,1652.5000
2012-01-13,1642.0000
2012-01-16,1643.5000
2012-01-17,1662.0000
2012-01-18,1657.0000
2012-01-19,1664.0000
2012-01-20,1646.0000
2012-01-23,1675.0000
2012-01-24,1669.0000
2012-01-25,1659.0000
2012-01-26,1713.0000
2012-01-27,1722.0000
2012-01-30,1720.5000
2012-01-31,1738.0000
2012-02-01,1744.0000
2012-02-02,1747.5000
2012-02-03,1759.5000
2012-02-06,1717.0000
2012-02-07,1720.0000
2012-02-08,1743.0000
2012-02-09,1733.0000
2012-02-10,1715.5000
2012-02-13,1727.0000
2012-02-14,1721.0000
2012-02-15,1725.5000
2012-02-16,1716.0000
2012-02-17,1732.0000
2012-02-20,1729.5000
2012-02-21,1737.0000
2012-02-22,1754.7500
2012-02-23,1776.5000
2012-02-24,1778.5000
2012-02-27,1765.0000
2012-02-28,1774.7500
2012-02-29,1788.0000
2012-03-01,1721.0000
2012-03-02,1714.5000
2012-03-05,1698.0000
2012-03-06,1685.5000
2012-03-07,1682.5000
2012-03-08,1701.5000
2012-03-09,1699.5000
2012-03-12,1705.2500
2012-03-13,1694.7500
2012-03-14,1662.0000
2012-03-15,1646.7500
2012-03-16,1649.0000
2012-03-19,1654.0000
2012-03-20,1648.5000
2012-03-21,1656.0000
2012-03-22,1636.0000
2012-03-23,1651.0000
2012-03-26,1658.0000
2012-03-27,1694.0000
2012-03-28,1677.0000
2012-03-29,1655.7500
2012-03-30,1660.7500
2012-04-02,1664.0000
2012-04-03,1674.7500
2012-04-04,1631.7500
2012-04-05,1622.5000
2012-04-10,1643.7500
2012-04-11,1654.0000
2012-04-12,1655.5000
2012-04-13,1670.5000
2012-04-16,1648.2500
2012-04-17,1652.0000
2012-04-18,1646.5000
2012-04-19,1642.0000
2012-04-20,1640.0000
2012-04-23,1632.0000
2012-04-24,1638.7500
2012-04-25,1641.2500
2012-04-26,1648.2500
2012-04-27,1654.0000
2012-04-30,1662.5000
2012-05-01,1661.2500
2012-05-02,1652.5000
2012-05-03,1642.5000
2012-05-04,1629.5000
2012-05-08,1627.0000
2012-05-09,1585.5000
2012-05-10,1590.0000
2012-05-11,1580.7500
2012-05-14,1563.0000
2012-05-15,1559.0000
2012-05-16,1537.5000
2012-05-17,1547.0000
2012-05-18,1588.0000
2012-05-21,1590.2500
2012-05-22,1575.7500
2012-05-23,1555.0000
2012-05-24,1558.5000
2012-05-25,1560.5000
2012-05-28,1579.0000
2012-05-29,1573.7500
2012-05-30,1548.7500
2012-05-31,1567.5000
2012-06-01,1552.5000
2012-06-06,1633.2500
2012-06-07,1620.7500
2012-06-08,1576.0000
2012-06-11,1593.0000
2012-06-12,1589.2500
2012-06-13,1612.7500
2012-06-14,1619.0000
2012-06-15,1622.2500
2012-06-18,1623.5000
2012-06-19,1628.5000
2012-06-20,1618.7500
2012-06-21,1600.0000
2012-06-22,1570.5000
2012-06-25,1569.0000
2012-06-26,1583.2500
2012-06-27,1567.5000
2012-06-28,1567.7500
2012-06-29,1569.5000
2012-07-02,1596.2500
2012-07-03,1608.5000
2012-07-04,1617.0000
2012-07-05,1616.7500
2012-07-06,1591.7500
2012-07-09,1581.0000
2012-07-10,1594.5000
2012-07-11,1576.5000
2012-07-12,1565.5000
2012-07-13,1579.0000
2012-07-16,1584.0000
2012-07-17,1595.0000
2012-07-18,1579.5000
2012-07-19,1580.0000
2012-07-20,1583.0000
2012-07-23,1571.5000
2012-07-24,1573.0000
2012-07-25,1587.5000
2012-07-26,1603.0000
2012-07-27,1618.7500
2012-07-30,1616.5000
2012-07-31,1622.7500
2012-08-01,1614.7500
2012-08-02,1604.5000
2012-08-03,1595.0000
2012-08-06,1606.7500
2012-08-07,1613.0000
2012-08-08,1607.0000
2012-08-09,1612.7500
2012-08-10,1608.5000
2012-08-13,1622.2500
2012-08-14,1614.5000
2012-08-15,1594.7500
2012-08-16,1603.5000
2012-08-17,1616.5000
2012-08-20,1615.2500
2012-08-21,1624.0000
2012-08-22,1640.5000
2012-08-23,1662.5000
2012-08-24,1666.5000
2012-08-28,1663.5000
2012-08-29,1664.2500
2012-08-30,1657.0000
2012-08-31,1657.7500
2012-09-03,1686.0000
2012-09-04,1691.5000
2012-09-05,1689.5000
2012-09-06,1708.5000
2012-09-07,1696.0000
2012-09-10,1732.7500
2012-09-11,1731.0000
2012-09-12,1742.7500
2012-09-13,1730.5000
2012-09-14,1772.5000
2012-09-17,1767.2500
2012-09-18,1756.7500
2012-09-19,1774.5000
2012-09-20,1760.0000
2012-09-21,1773.7500
2012-09-24,1758.5000
2012-09-25,1766.7500
2012-09-26,1763.7500
2012-09-27,1755.2500
2012-09-28,1781.0000
2012-10-01,1770.5000
2012-10-02,1778.5000
2012-10-03,1777.2500
2012-10-04,1786.5000
2012-10-05,1790.0000
2012-10-08,1769.0000
2012-10-09,1770.7500
2012-10-10,1763.0000
2012-10-11,1767.2500
2012-10-12,1767.0000
2012-10-15,1747.2500
2012-10-16,1737.5000
2012-10-17,1747.7500
2012-10-18,1748.0000
2012-10-19,1732.7500
2012-10-22,1725.0000
2012-10-23,1717.0000
2012-10-24,1708.5000
2012-10-25,1715.0000
2012-10-26,1704.0000
2012-10-29,1712.0000
2012-10-30,1713.5000
2012-10-31,1718.0000
2012-11-01,1723.2500
2012-11-02,1708.2500
2012-11-05,1679.0000
2012-11-06,1691.7500
2012-11-07,1730.5000
2012-11-08,1715.0000
2012-11-09,1732.7500
2012-11-12,1735.7500
2012-11-13,1724.7500
2012-11-14,1724.5000
2012-11-15,1723.5000
2012-11-16,1710.0000
2012-11-19,1723.2500
2012-11-20,1734.0000
2012-11-21,1726.7500
2012-11-22,1729.7500
2012-11-23,1734.7500
2012-11-26,1747.2500
2012-11-27,1747.2500
2012-11-28,1741.0000
2012-11-29,1724.5000
2012-11-30,1728.2500
2012-12-03,1718.0000
2012-12-04,1706.7500
2012-12-05,1703.0000
2012-12-06,1693.0000
2012-12-07,1697.0000
2012-12-10,1708.5000
2012-12-11,1709.7500
2012-12-12,1712.5000
2012-12-13,1694.7500
2012-12-14,1696.5000
2012-12-17,1690.0000
2012-12-18,1699.5000
2012-12-19,1674.5000
2012-12-20,1667.0000
2012-12-21,1648.2500
2012-12-24,1662.5000
2012-12-27,1655.2500
2012-12-28,1658.7500
2012-12-31,1664.0000
2013-01-02,1681.5000
2013-01-03,1684.5000
2013-01-04,1632.2500
2013-01-07,1653.7500
2013-01-08,1653.7500
2013-01-09,1663.5000
2013-01-10,1663.0000
2013-01-11,1669.5000
2013-01-14,1667.7500
2013-01-15,1681.0000
2013-01-16,1679.7500
2013-01-17,1683.2500
2013-01-18,1690.0000
2013-01-21,1688.0000
2013-01-22,1692.5000
2013-01-23,1692.2500
2013-01-24,1677.0000
2013-01-25,1670.2500
2013-01-28,1656.7500
2013-01-29,1660.5000
2013-01-30,1666.2500
2013-01-31,1674.5000
2013-02-01,1665.0000
2013-02-04,1664.2500
2013-02-05,1678.0000
2013-02-06,1670.0000
2013-02-07,1675.7500
2013-02-08,1669.7500
2013-02-11,1663.5000
2013-02-12,1641.7500
2013-02-13,1648.0000
2013-02-14,1644.0000
2013-02-15,1629.2500
2013-02-18,1611.2500
2013-02-19,1613.5000
2013-02-20,1602.0000
2013-02-21,1568.5000
2013-02-22,1580.0000
2013-02-25,1592.5000
2013-02-26,1597.2500
2013-02-27,1608.5000
2013-02-28,1591.0000
2013-03-01,1570.0000
2013-03-04,1578.0000
2013-03-05,1584.2500
2013-03-06,1574.0000
2013-03-07,1580.5000
2013-03-08,1577.0000
2013-03-11,1577.5000
2013-03-12,1582.5000
2013-03-13,1591.5000
2013-03-14,1585.0000
2013-03-15,1593.2500
2013-03-18,1599.5000
2013-03-19,1602.5000
